Region,Anzsic_descriptor,Sub_industry,Household_category,Gas,Year,Data_value,Units,Magnitude
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,68.58,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,68.82,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,57.13,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,52.57,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,40.73,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,40.51,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,41.8,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,39.14,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,47.55,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,35.04,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,50.18,Kilotonnes,Carbon dioxide equivalents
Southland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2023,29.4,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,19.03,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,13,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,11.75,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,14.28,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,15.36,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,9.65,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,12.83,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,13.89,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,12.35,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,10.47,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,11.29,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,14.25,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,13.42,Kilotonnes,Carbon dioxide equivalents
Taranaki,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,12.59,Kilotonnes,Carbon dioxide equivalents
